Date,Stocks,Bonds,Gold
2013-11-04,420059840.0,791035.0,85943.0
2013-11-05,477737984.0,2435200.0,120559.0
2013-11-06,492886144.0,1468120.0,116147.0
2013-11-07,590044736.0,946941.0,112385.0
2013-11-08,564703104.0,2698280.0,107094.0
2013-11-11,376767136.0,1912659.0,124755.0
2013-11-12,444534784.0,2016634.0,165701.0
2013-11-13,511953984.0,1552286.0,159379.0
2013-11-14,510079232.0,1326062.0,181145.0
2013-11-15,656872128.0,924110.0,109751.0
2013-11-18,482579744.0,987783.0,125719.0
2013-11-19,459805984.0,925326.0,136919.0
2013-11-20,461769472.0,1156425.0,259877.0
2013-11-21,479619488.0,3577016.0,267319.0
2013-11-22,440009152.0,2231368.0,188770.0
2013-11-25,471385280.0,1792404.0,263879.0
2013-11-26,558605312.0,1328866.0,263879.0
2013-11-27,372695488.0,1772564.0,310510.0
2013-11-28,,,245676.0
2013-11-29,353126560.0,1191767.0,128576.0
2013-12-02,459863168.0,1460731.0,158306.0
2013-12-03,524954624.0,1174941.0,126912.0
2013-12-04,572677312.0,2045146.0,190712.0
2013-12-05,556372928.0,2469734.0,162849.0
2013-12-06,499039040.0,1826783.0,187315.0
2013-12-09,485670432.0,1081639.0,85501.0
2013-12-10,464147936.0,1077883.0,154769.0
2013-12-11,545816896.0,1493951.0,126507.0
2013-12-12,516426848.0,2158804.0,162450.0
2013-12-13,440363456.0,1258069.0,118557.0
2013-12-16,529226912.0,2099747.0,126783.0
2013-12-17,506364000.0,2466020.0,142617.0
2013-12-18,690284736.0,2011837.0,166312.0
2013-12-19,510620992.0,1791582.0,219254.0
2013-12-20,1387288960.0,1278692.0,151393.0
2013-12-23,433735424.0,3849024.0,87960.0
2013-12-24,183987264.0,646783.0,45820.0
2013-12-26,293306336.0,2347602.0,62131.0
2013-12-27,270154368.0,2231187.0,88490.0
2013-12-30,301831968.0,3170333.0,84692.0
2013-12-31,393974080.0,1837732.0,128071.0
2014-01-02,446110848.0,1589835.0,153128.0
2014-01-03,387809952.0,1774399.0,123773.0
