,t10-wm-rm,t10-wms-rm,t5-we-rm,t10-wm-rm-f2c50,BTC
2015,,,,,0.0
2016,0.0,0.0,0.0,0.0,0.0
2017,3.65,3.65,3.65,3.65,3.65
2018,-3.65,-3.65,-3.65,-3.65,-3.65
