date,Fund,Ethereum,Ripple,Bitcoin Cash,Litecoin,EOS,Cardano,Stellar,NEO,IOTA
2013-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-06-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-07-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-08-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-09-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-10-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-11-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-12-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-01-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-02-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-03-31,0.999714105285199,NaN,0.9311135369321902,NaN,0.9881224838859053,NaN,NaN,NaN,NaN,NaN
2014-04-30,0.9997151777735426,NaN,0.9285136005320931,NaN,0.9881401896244559,NaN,NaN,NaN,NaN,NaN
2014-05-31,0.9996806145191829,NaN,0.9233570642073123,NaN,0.9855343260635029,NaN,NaN,NaN,NaN,NaN
2014-06-30,0.9997073971214748,NaN,0.9266184565067623,NaN,0.9877063512647959,NaN,NaN,NaN,NaN,NaN
2014-07-31,0.9997076952190533,NaN,0.9213403162561336,NaN,0.987709424277259,NaN,NaN,NaN,NaN,NaN
2014-08-31,0.9997099606604264,NaN,0.9214496137935303,NaN,0.9888267076917392,NaN,NaN,NaN,NaN,NaN
2014-09-30,0.9997035969790441,NaN,0.9595405896378886,NaN,0.9878080897447937,NaN,NaN,-0.13912091715388455,NaN,NaN
2014-10-31,0.999887814867723,NaN,0.9784080408935849,NaN,0.993113993458972,NaN,NaN,-0.028590359478686208,NaN,NaN
2014-11-30,0.9948671141683784,NaN,0.22436586305589856,NaN,0.8050166608171215,NaN,NaN,-0.020568359815065815,NaN,NaN
2014-12-31,0.9876078185656905,NaN,0.137771915730974,NaN,0.7734353763266173,NaN,NaN,-0.18826898359146882,NaN,NaN
2015-01-31,0.987314459418333,NaN,0.2493092519039034,NaN,0.7945514054780137,NaN,NaN,-0.08176222512282405,NaN,NaN
2015-02-28,0.9854819134578504,NaN,0.160959622014475,NaN,0.7849771978753686,NaN,NaN,-0.19543209945360418,NaN,NaN
2015-03-31,0.9825964869101225,NaN,0.10387590409328849,NaN,0.8749083221663702,NaN,NaN,-0.22285497844218186,NaN,NaN
2015-04-30,0.9830123851315149,NaN,0.11754340716993254,NaN,0.8882538895791103,NaN,NaN,-0.21264629595656648,NaN,NaN
2015-05-31,0.9667999505211786,NaN,0.3553777293693741,NaN,0.6215391261023263,NaN,NaN,-0.21311622078098275,NaN,NaN
2015-06-30,0.97027471404616,NaN,0.3877866699868377,NaN,0.6128017828503403,NaN,NaN,-0.19842149581422516,NaN,NaN
2015-07-31,0.969166174039711,NaN,0.26960486997287625,NaN,0.6311791835454151,NaN,NaN,-0.2564536638456521,NaN,NaN
2015-08-31,0.9716771084769531,NaN,0.27740754597225864,NaN,0.6573146576837445,NaN,NaN,-0.19820248168111798,NaN,NaN
