BTC,846.966
ETH,116.9546
XRP,57.3161
LTC,23.711
BCH,14.4295
DASH,8.8918
XEM,5.9696
XMR,4.732
ETC,4.4417
MIOTA,4.072
ADA,3.3065
XLM,2.738
NEO,2.6529
MAID,1.86
DOGE,1.5575
STEEM,1.3434
EOS,1.2752
BTS,1.1969
REP,0.7519
PPC,0.618
BTG,0.5797
NXT,0.4946
STRAT,0.3891
LSK,0.2424
BCN,0.1716
GNT,0.1643
WAVES,0.0761
FCT,0.0563
EMC,0.0413
