date,Fund,Bitcoin,Ethereum,Ripple,Bitcoin Cash,Litecoin,EOS,Cardano,Stellar,NEO,IOTA
2013-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-31,-0.1194215496831111,-0.10555555555555551,0.0,0.0,0.0,-0.32499999999999996,0.0,0.0,0.0,0.0,0.0
2013-06-30,-0.2556778062337292,-0.26242236024844723,0.0,0.0,0.0,-0.06060606060606066,0.0,0.0,0.0,0.0,0.0
2013-07-31,0.13503084776461818,0.13631578947368417,0.0,0.0,0.0,0.07526881720430101,0.0,0.0,0.0,0.0,0.0
2013-08-31,0.21461488670418138,0.23288559518295515,0.0,0.0,0.0,-0.11333333333333329,0.0,0.0,0.0,0.0,0.0
2013-09-30,0.056535661002242436,0.03050567285295669,0.0,1.1731777439539997,0.0,-0.13533834586466176,0.0,0.0,0.0,0.0,0.0
2013-10-31,0.3845634529455378,0.45701786365293473,0.0,-0.5445136186770428,0.0,-0.008695652173913104,0.0,0.0,0.0,0.0,0.0
2013-11-30,4.942123597054017,4.651653905819946,0.0,4.279343926191697,0.0,15.201754385964911,0.0,0.0,0.0,0.0,0.0
2013-12-31,-0.3264748074773986,-0.32677510470439264,0.0,-0.1043689320388349,0.0,-0.33649160801299394,0.0,0.0,0.0,0.0,0.0
2014-01-31,0.04953855516407529,0.0764283459595958,0.0,-0.26569105691056916,0.0,-0.11668706650346805,0.0,0.0,0.0,0.0,0.0
2014-02-28,-0.29448271963782036,-0.2916926310130371,0.0,-0.3049896663714201,0.0,-0.33995381062355656,0.0,0.0,0.0,0.0,0.0
2014-03-31,-0.21969488475996282,-0.2025185440745213,0.0,-0.3148541489662986,0.0,-0.07977606717984598,0.0,0.0,0.0,0.0,0.0
2014-04-30,-0.051186063560252786,-0.03333333333333344,0.0,-0.44621266921566605,0.0,-0.20912547528517111,0.0,0.0,0.0,0.0,0.0
2014-05-31,0.35145602082390837,0.3777215869677104,0.0,-0.2103004291845494,0.0,0.08269230769230762,0.0,0.0,0.0,0.0,0.0
2014-06-30,-0.03197408216672255,-0.0212282154980592,0.0,-0.05174858223062373,0.0,-0.20337477797513315,0.0,0.0,0.0,0.0,0.0
2014-07-31,-0.06724224626705888,-0.05849457369486577,0.0,0.27211562422128055,0.0,-0.18840579710144933,0.0,0.0,0.0,0.0,0.0
2014-08-31,-0.11511474866959585,-0.11362955390662188,0.0,-0.02879529872673836,0.0,-0.28434065934065933,0.0,0.0,0.0,0.0,0.0
2014-09-30,-0.2375500238381477,-0.25215748657784853,0.0,-0.0510286405808793,0.0,-0.18426103646833014,0.0,0.0,0.4735159817351602,0.0,0.0
2014-10-31,-0.0881919090638405,-0.08263979366640961,0.0,0.03868225292242289,0.0,-0.11058823529411765,0.0,0.0,-0.4583204214440657,0.0,0.0
2014-11-30,0.13467354398447973,0.0884032346888497,0.0,1.8600368324125234,0.0,-0.050264550264550234,0.0,0.0,0.4422196796338673,0.0,0.0
2014-12-31,-0.10537540135646335,-0.17203270219168587,0.0,0.7309866208771552,0.0,-0.24791086350974922,0.0,0.0,1.17334391114637,0.0,0.0
2015-01-31,-0.3075784347879588,-0.27168634009842085,0.0,-0.4031164751591304,0.0,-0.2962962962962964,0.0,0.0,-0.18872056944697924,0.0,0.0
2015-02-28,0.08831289704629332,0.11959017841370789,0.0,-0.07506405373589087,0.0,-0.02631578947368407,0.0,0.0,-0.2879640044994376,0.0,0.0
2015-03-31,-0.0650810694534566,-0.023942884190596536,0.0,-0.36722317885752787,0.0,-0.09729729729729741,0.0,0.0,-0.13617693522906793,0.0,0.0
2015-04-30,-0.09245886738857384,-0.08793695696100223,0.0,-0.07039753904401325,0.0,-0.18562874251496997,0.0,0.0,-0.058888076079005036,0.0,0.0
2015-05-31,0.04455590852729719,0.03296557224511498,0.0,0.06949217258495621,0.0,0.3308823529411764,0.0,0.0,0.26389428682471827,0.0,0.0
2015-06-30,0.14517321222280913,0.10256080298545878,0.0,0.42449125312388425,0.0,1.0662983425414367,0.0,0.0,0.07718327183271834,0.0,0.0
2015-07-31,0.08374380992670828,0.11928104575163379,0.0,-0.2903926482873851,0.0,0.22459893048128343,0.0,0.0,-0.19754496146160427,0.0,0.0
2015-08-31,-0.20346018065708601,-0.20364963503649625,0.0,-0.05097716034848121,0.0,-0.37772925764192133,0.0,0.0,-0.15901814300960504,0.0,0.0
2015-09-30,-0.004315107960404157,0.032866308759984086,-0.4990969696969697,-0.30753008311623875,0.0,0.04210526315789487,0.0,0.0,-0.12225042301184441,0.0,0.0
2015-10-31,0.35893468166187265,0.3882268424611224,0.5880409926314898,-0.13292726621282702,0.0,0.3737373737373737,0.0,0.0,0.044337349397590486,0.0,0.0
2015-11-30,0.10765636075935255,0.1306809533956348,-0.16195142857142852,-0.11198347107438011,0.0,-0.1029411764705882,0.0,0.0,-0.197046608214121,0.0,0.0
2015-12-31,0.14721487265328168,0.146564721085505,0.0365327160262332,0.4388087482550025,0.0,-0.05464480874316946,0.0,0.0,0.013793103448276112,0.0,0.0
2016-01-31,-0.08458214542114514,-0.11174509251432319,1.6751511350753976,0.07228331177231562,0.0,-0.10404624277456642,0.0,0.0,-0.01643990929705208,0.0,0.0
2016-02-29,0.19314295326980238,0.14578762325200234,1.6475409836065573,0.190619816015684,0.0,0.10967741935483866,0.0,0.0,0.14178674351584974,0.0,0.0
2016-03-31,0.018362311634358777,-0.041943521594684396,0.8452012383900929,-0.0713109563014569,0.0,-0.061046511627906974,0.0,0.0,0.02927814235234738,0.0,0.0
