date,,SP500,Gold,Fund,Ethereum
2016-11-30,Ethereum,0.3051498877551768,0.19313682664073373,0.089493775649579,1.0000000000000002
2016-12-31,SP500,0.9999999999999999,-0.1260942327309753,-0.32576118576754776,0.30306369778849557
2016-12-31,Gold,-0.1260942327309753,1.0000000000000002,-0.09317401763719718,0.20294077402625402
2016-12-31,Fund,-0.32576118576754776,-0.09317401763719718,1.0000000000000007,0.02400379121523893
2016-12-31,Ethereum,0.30306369778849557,0.20294077402625402,0.02400379121523893,1.0000000000000002
2017-01-31,SP500,0.9999999999999994,-0.19232725088598376,-0.0011999757230091036,-0.30022037969301324
2017-01-31,Gold,-0.19232725088598376,1.0,-0.17734935781964378,0.25525987848090975
2017-01-31,Fund,-0.0011999757230091036,-0.17734935781964378,1.0000000000000004,0.33659452470112966
2017-01-31,Ethereum,-0.30022037969301324,0.25525987848090975,0.33659452470112966,0.9999999999999997
2017-02-28,SP500,0.9999999999999992,-0.05319416850692251,0.052971031324463146,-0.005138960962004219
2017-02-28,Gold,-0.05319416850692251,0.9999999999999999,-0.3422850858530099,0.006012313324656602
2017-02-28,Fund,0.052971031324463146,-0.3422850858530099,1.0000000000000009,0.26335396612489814
2017-02-28,Ethereum,-0.005138960962004219,0.006012313324656602,0.26335396612489814,1.0
2017-03-31,SP500,0.9999999999999993,-0.050512593854725084,0.032525446731117895,-0.0890785180064939
2017-03-31,Gold,-0.050512593854725084,0.9999999999999996,-0.326399107437083,0.05385164708668102
2017-03-31,Fund,0.032525446731117895,-0.326399107437083,1.000000000000001,0.18796428319759534
2017-03-31,Ethereum,-0.0890785180064939,0.05385164708668102,0.18796428319759534,0.9999999999999998
2017-04-30,SP500,0.9999999999999991,0.17408262245509193,-0.09145736708651336,-0.1859011491120036
2017-04-30,Gold,0.17408262245509193,0.9999999999999992,-0.1849612971057231,0.3047743418034595
2017-04-30,Fund,-0.09145736708651336,-0.1849612971057231,1.0000000000000002,0.12866640577415128
2017-04-30,Ethereum,-0.1859011491120036,0.3047743418034595,0.12866640577415128,1.0000000000000002
2017-05-31,SP500,0.9999999999999993,0.170365599772278,-0.08251423564600098,-0.16653963922346518
